Rank,Player_ID,Name,Nationality,Birth_Year,Play_Hand,Backhand,is_ghost
101.0,800625580,Angel Veliz,ECU,2008.0,Right Handed,Double Handed Both Sides,False
102.0,800711858,Ymerali Ibraimi,AUS,2009.0,Unknown,Unknown,False
103.0,800632039,ARADHYA KSHITIJ,IND,2008.0,Right Handed,Double Handed Backhand,False
104.0,800646359,Eyad Reda Ezzat Mohamed Sherif,EGY,2008.0,Right Handed,Unknown,False
105.0,800709452,Roshan Santhosh,USA,2008.0,Unknown,Unknown,False
106.0,800699673,Jordan Lee,USA,2010.0,Unknown,Unknown,False
107.0,800622039,Thomas Gunzinger,SUI,2008.0,Unknown,Unknown,False
108.0,800593329,Florian Zimmer,AUT,2008.0,Unknown,Unknown,False
109.0,800597378,Tomas Krejci,CZE,2009.0,Unknown,Unknown,False
110.0,800661621,Joshua Adamson,CAN,2009.0,Unknown,Unknown,False
111.0,800707613,Yen-Chun Wang,TPE,2008.0,Unknown,Unknown,False
112.0,800672538,Dominik Macej,SVK,2009.0,Right Handed,Double Handed Backhand,False
113.0,800698197,Enrique Carrascosa Diaz,ESP,2008.0,Unknown,Unknown,False
114.0,800692811,Ford McCollum,USA,2008.0,Unknown,Unknown,False
115.0,800670455,Ignacio De Armas,VEN,2009.0,Unknown,Unknown,False
116.0,800708825,Zavier Augustin,USA,2008.0,Unknown,Unknown,False
117.0,800679317,Eito Komada,JPN,2008.0,Unknown,Unknown,False
118.0,800705312,Cooper Kose,AUS,2009.0,Unknown,Unknown,False
119.0,800644692,Jack Cheng,HKG,2008.0,Right Handed,Double Handed Backhand,False
120.0,800601932,Alejandro Castellanos,COL,2008.0,Unknown,Unknown,False
121.0,800660771,Alessandro Hunziker,SUI,2009.0,Right Handed,Double Handed Backhand,False
122.0,800659871,Felipe Mamede,BRA,2009.0,Right Handed,Double Handed Backhand,False
123.0,800688505,Max Villar,ESP,2008.0,Unknown,Unknown,False
124.0,800680716,Mauricio Schtulmann Gasca,MEX,2008.0,Unknown,Unknown,False
125.0,800603213,Eoghan Jennings,IRL,2008.0,Ambidextrous,Double Handed Forehand,False
126.0,800684620,Cody Atkinson,NZL,2008.0,Unknown,Unknown,False
127.0,800656311,Stan Put,NED,2010.0,Right Handed,Double Handed Backhand,False
128.0,800688594,Evan Simon,FRA,2008.0,Unknown,Unknown,False
129.0,800717018,Benjamin perez,CHI,2009.0,Unknown,Unknown,False
130.0,800620722,Tae Woo Kim,KOR,2009.0,Unknown,Unknown,False
131.0,800661358,Filippo Alfano,ITA,2008.0,Unknown,Unknown,False
132.0,800596861,William Moxon,GBR,2008.0,Unknown,Unknown,False
133.0,800589891,Egor Shcherbakov,RUS,2008.0,Unknown,Unknown,False
134.0,800732025,Izyan Ahmad,USA,2010.0,Right Handed,Double Handed Backhand,False
135.0,800594600,Lenny Petit,MON,2008.0,Unknown,Unknown,False
136.0,800590616,Victor Ryden,SWE,2008.0,Unknown,Unknown,False
137.0,800709481,Riku Nakamoto,JPN,2009.0,Unknown,Unknown,False
138.0,800624130,Alberto Pulido Moreno,ESP,2009.0,Unknown,Unknown,False
139.0,800586416,Alan Aiukhanov,RUS,2008.0,Unknown,Unknown,False
140.0,800587847,Antonio Marigliano,ITA,2008.0,Right Handed,Double Handed Backhand,False
141.0,800731732,Jerrid Gaines Jr,USA,2009.0,Unknown,Unknown,False
142.0,800586905,Fedor Altukhov,RUS,2008.0,Unknown,Unknown,False
143.0,800562884,Jakub Smejcky,CZE,2008.0,Unknown,Unknown,False
144.0,800733775,Koki Nara,JPN,2009.0,Unknown,Unknown,False
145.0,800599048,Wonmin Kim,KOR,2009.0,Unknown,Unknown,False
146.0,800621001,Eric Dylan Mueller,GER,2009.0,Unknown,Unknown,False
147.0,800727133,Goncalo Da Rosa Castro,POR,2008.0,Right Handed,Double Handed Backhand,False
148.0,800787844,Jan Psota,CZE,2008.0,Unknown,Unknown,False
149.0,800706603,Felix Roussel,CAN,2008.0,Left Handed,Double Handed Backhand,False
150.0,800569863,Patrick-Valentin Moise,GER,2008.0,Unknown,Unknown,False
151.0,800599182,Vito Antonio Darderi,ITA,2008.0,Unknown,Unknown,False
152.0,800592332,Luca Stefan Prunescu Nita,ROU,2008.0,Unknown,Unknown,False
153.0,800583662,Se Hyuk Cho,KOR,2008.0,Unknown,Unknown,False
154.0,800630725,Richard Lacis,BLR,2009.0,Unknown,Unknown,False
155.0,800645019,William Kjellberg,SWE,2009.0,Unknown,Unknown,False
156.0,800739583,Yoshihiro Sakurai,JPN,2009.0,Unknown,Unknown,False
157.0,800757262,Jia Hu,CHN,2009.0,Unknown,Unknown,False
158.0,800631035,Samarth Sahita,IND,2008.0,Unknown,Unknown,False
159.0,800634862,Arseniy Trebukhin,KAZ,2008.0,Right Handed,Double Handed Backhand,False
160.0,800737321,Kaigaoge Kang,CHN,2008.0,Right Handed,Double Handed Backhand,False
161.0,800682637,Mason Taube,USA,2008.0,Unknown,Unknown,False
162.0,800626211,Roberto Perez socas,ESP,2008.0,Right Handed,Double Handed Backhand,False
163.0,800656414,Cayo Narvaez Espinola,PAR,2008.0,Unknown,Unknown,False
164.0,800717591,Dmytro Vterkovskiy,UKR,2008.0,Right Handed,Double Handed Backhand,False
165.0,800678202,Benjamin Chelia,ARG,2008.0,Right Handed,Double Handed Backhand,False
166.0,800629142,Francisco Fontes Damorim,BRA,2008.0,Unknown,Unknown,False
167.0,800586826,Gabriel Jalouneix,FRA,2008.0,Unknown,Unknown,False
168.0,800568045,Alexey Shibaev,RUS,2008.0,Unknown,Unknown,False
169.0,800667741,Yassin Ahmed Wageh,EGY,2008.0,Left Handed,Double Handed Backhand,False
170.0,800698558,Dongjae Kim,KOR,2010.0,Unknown,Unknown,False
171.0,800661480,Tomas Re,ARG,2008.0,Right Handed,Double Handed Backhand,False
172.0,800590223,Alexey Frolov,RUS,2009.0,Unknown,Unknown,False
173.0,800690276,Ren Matsumura,JPN,2008.0,Unknown,Unknown,False
174.0,800684304,Henrique Queiroz,BRA,2008.0,Right Handed,Double Handed Backhand,False
175.0,800719071,Theo Hegarty,USA,2008.0,Left Handed,Unknown,False
176.0,800711046,Caden Colburne,CAN,2009.0,Unknown,Unknown,False
177.0,800665702,Szymon Karpinski,POL,2008.0,Unknown,Unknown,False
178.0,800671311,Alessandro Rubini Garcia Belaunde,PER,2009.0,Right Handed,Double Handed Backhand,False
179.0,800665698,MATTIA BARONI,ITA,2009.0,Unknown,Unknown,False
180.0,800576472,Victor Barreira Bonzom,FRA,2008.0,Unknown,Unknown,False
181.0,800576610,Pavel Skvortcov,RUS,2008.0,Left Handed,Unknown,False
182.0,800711174,Ethan Domingo,AUS,2010.0,Unknown,Unknown,False
183.0,800708478,Kensuke Kobayashi,JPN,2009.0,Unknown,Unknown,False
184.0,800701855,Lin Hao-Yu,TPE,2008.0,Right Handed,Double Handed Backhand,False
185.0,800630877,Matei Victor Chelemen,ROU,2009.0,Unknown,Unknown,False
186.0,800673010,Skander Nsairi,TUN,2009.0,Left Handed,Double Handed Backhand,False
187.0,800589300,Svit Suljic,SLO,2009.0,Unknown,Unknown,False
188.0,800589348,Utku Kerem Biberli,TUR,2008.0,Right Handed,Unknown,False
189.0,800726991,Hanlei Lu,CHN,2009.0,Unknown,Unknown,False
190.0,800576465,Marcell Kovacs,HUN,2008.0,Unknown,Unknown,False
191.0,800635270,Kaloyan Shikov,BUL,2009.0,Right Handed,Double Handed Backhand,False
192.0,800747700,Raphael Savelli,AUS,2010.0,Unknown,Unknown,False
193.0,800742825,Antoine Clavel,CAN,2009.0,Unknown,Unknown,False
194.0,800722515,Junseo Jang,KOR,2011.0,Right Handed,Double Handed Backhand,False
195.0,800708219,Marwan Ehab,EGY,2008.0,Unknown,Unknown,False
196.0,800630828,Ivan Dorokhov,RUS,2008.0,Right Handed,Unknown,False
197.0,800685006,quincy yao,CAN,2008.0,Unknown,Unknown,False
198.0,800598481,Sin Hang Tam,HKG,2009.0,Right Handed,Double Handed Backhand,False
199.0,800590611,Aren Baybars,TUR,2008.0,Left Handed,Double Handed Backhand,False
200.0,800702805,Shintaro Ogaki,JPN,2010.0,Unknown,Unknown,False
201.0,800596150,Matisse MARTIN,FRA,2009.0,Unknown,Unknown,False
202.0,800706150,Carlo Arena Fava,MEX,2008.0,Left Handed,Double Handed Backhand,False
